clip,grid,block,C,n,mean_text_roi
1.0,4,9,0,22,1.0909090909090908
1.0,4,9,2,22,180.63636363636363
1.0,4,9,4,22,126.77272727272727
1.0,4,11,0,22,3.409090909090909
1.0,4,11,2,22,187.13636363636363
1.0,4,11,4,22,129.95454545454547
1.0,4,15,0,22,14.818181818181818
1.0,4,15,2,22,197.77272727272728
1.0,4,15,4,22,138.45454545454547
1.0,4,21,0,22,31.681818181818183
1.0,4,21,2,22,203.5
1.0,4,21,4,22,144.45454545454547
1.0,8,9,0,22,1.2727272727272727
1.0,8,9,2,22,170.4090909090909
1.0,8,9,4,22,129.45454545454547
1.0,8,11,0,22,3.409090909090909
1.0,8,11,2,22,180.72727272727272
1.0,8,11,4,22,132.4090909090909
1.0,8,15,0,22,14.409090909090908
1.0,8,15,2,22,192.95454545454547
1.0,8,15,4,22,140.6818181818182
1.0,8,21,0,22,32.81818181818182
1.0,8,21,2,22,201.8181818181818
1.0,8,21,4,22,146.5909090909091
1.0,16,9,0,22,1.3636363636363635
1.0,16,9,2,22,167.3181818181818
1.0,16,9,4,22,129.04545454545453
1.0,16,11,0,22,3.090909090909091
1.0,16,11,2,22,176.54545454545453
1.0,16,11,4,22,133.36363636363637
1.0,16,15,0,22,15.545454545454545
1.0,16,15,2,22,187.95454545454547
1.0,16,15,4,22,141.13636363636363
1.0,16,21,0,22,32.59090909090909
1.0,16,21,2,22,191.13636363636363
1.0,16,21,4,22,149.9090909090909
2.0,4,9,0,22,1.4545454545454546
2.0,4,9,2,22,122.31818181818181
2.0,4,9,4,22,143.0909090909091
2.0,4,11,0,22,3.9545454545454546
2.0,4,11,2,22,122.68181818181819
2.0,4,11,4,22,154.0
2.0,4,15,0,22,13.318181818181818
2.0,4,15,2,22,138.36363636363637
2.0,4,15,4,22,163.36363636363637
2.0,4,21,0,22,29.181818181818183
2.0,4,21,2,22,152.0909090909091
2.0,4,21,4,22,172.63636363636363
2.0,8,9,0,22,1.1363636363636365
2.0,8,9,2,22,108.36363636363636
2.0,8,9,4,22,151.45454545454547
2.0,8,11,0,22,3.590909090909091
2.0,8,11,2,22,112.72727272727273
2.0,8,11,4,22,159.9090909090909
2.0,8,15,0,22,11.863636363636363
2.0,8,15,2,22,125.63636363636364
2.0,8,15,4,22,169.86363636363637
2.0,8,21,0,22,28.727272727272727
2.0,8,21,2,22,139.04545454545453
2.0,8,21,4,22,177.72727272727272
2.0,16,9,0,22,1.4090909090909092
2.0,16,9,2,22,95.4090909090909
2.0,16,9,4,22,156.9090909090909
2.0,16,11,0,22,3.0
2.0,16,11,2,22,98.13636363636364
2.0,16,11,4,22,168.0909090909091
2.0,16,15,0,22,13.181818181818182
2.0,16,15,2,22,116.63636363636364
2.0,16,15,4,22,178.0
2.0,16,21,0,22,29.681818181818183
2.0,16,21,2,22,131.72727272727272
2.0,16,21,4,22,187.5909090909091
4.0,4,9,0,22,1.8181818181818181
4.0,4,9,2,22,57.22727272727273
4.0,4,9,4,22,180.63636363636363
4.0,4,11,0,22,4.318181818181818
4.0,4,11,2,22,60.36363636363637
4.0,4,11,4,22,185.86363636363637
4.0,4,15,0,22,12.318181818181818
4.0,4,15,2,22,73.5
4.0,4,15,4,22,195.3181818181818
4.0,4,21,0,22,25.363636363636363
4.0,4,21,2,22,92.45454545454545
4.0,4,21,4,22,202.77272727272728
4.0,8,9,0,22,1.8181818181818181
4.0,8,9,2,22,35.77272727272727
4.0,8,9,4,22,179.5909090909091
4.0,8,11,0,22,3.5
4.0,8,11,2,22,38.27272727272727
4.0,8,11,4,22,183.95454545454547
4.0,8,15,0,22,9.590909090909092
4.0,8,15,2,22,51.86363636363637
4.0,8,15,4,22,194.0
4.0,8,21,0,22,24.0
4.0,8,21,2,22,76.5
4.0,8,21,4,22,207.04545454545453
4.0,16,9,0,22,1.4090909090909092
4.0,16,9,2,22,25.59090909090909
4.0,16,9,4,22,176.6818181818182
4.0,16,11,0,22,2.8636363636363638
4.0,16,11,2,22,27.863636363636363
4.0,16,11,4,22,177.0
4.0,16,15,0,22,8.136363636363637
4.0,16,15,2,22,43.95454545454545
4.0,16,15,4,22,184.63636363636363
4.0,16,21,0,22,21.59090909090909
4.0,16,21,2,22,67.95454545454545
4.0,16,21,4,22,198.54545454545453
8.0,4,9,0,22,2.272727272727273
8.0,4,9,2,22,35.63636363636363
8.0,4,9,4,22,114.36363636363636
8.0,4,11,0,22,4.2727272727272725
8.0,4,11,2,22,41.0
8.0,4,11,4,22,118.31818181818181
8.0,4,15,0,22,11.409090909090908
8.0,4,15,2,22,53.09090909090909
8.0,4,15,4,22,125.4090909090909
8.0,4,21,0,22,23.227272727272727
8.0,4,21,2,22,68.31818181818181
8.0,4,21,4,22,139.86363636363637
8.0,8,9,0,22,1.8636363636363635
8.0,8,9,2,22,17.454545454545453
8.0,8,9,4,22,100.9090909090909
8.0,8,11,0,22,3.727272727272727
8.0,8,11,2,22,19.363636363636363
8.0,8,11,4,22,97.86363636363636
8.0,8,15,0,22,8.863636363636363
8.0,8,15,2,22,28.454545454545453
8.0,8,15,4,22,105.54545454545455
8.0,8,21,0,22,18.863636363636363
8.0,8,21,2,22,45.63636363636363
8.0,8,21,4,22,121.31818181818181
8.0,16,9,0,22,1.5909090909090908
8.0,16,9,2,22,8.409090909090908
8.0,16,9,4,22,73.18181818181819
8.0,16,11,0,22,2.8181818181818183
8.0,16,11,2,22,10.363636363636363
8.0,16,11,4,22,69.22727272727273
8.0,16,15,0,22,6.818181818181818
8.0,16,15,2,22,17.863636363636363
8.0,16,15,4,22,77.77272727272727
8.0,16,21,0,22,15.5
8.0,16,21,2,22,31.59090909090909
8.0,16,21,4,22,92.81818181818181
