homography,clahe,threshold,components,n,mean_text_roi,mean_laplacian_var,mean_local_contrast
False,False,False,False,22,159.22727272727272,277.2685839200355,61.20148546918988
False,False,False,True,22,159.22727272727272,277.2685839200355,61.20148546918988
False,False,True,False,22,159.22727272727272,277.2685839200355,61.20148546918988
False,False,True,True,22,159.22727272727272,277.2685839200355,61.20148546918988
False,True,False,False,22,101.5909090909091,443.249522834739,61.4439791572971
False,True,False,True,22,101.5909090909091,443.249522834739,61.4439791572971
False,True,True,False,22,101.5909090909091,443.249522834739,61.4439791572971
False,True,True,True,22,101.5909090909091,443.249522834739,61.4439791572971
True,False,False,False,22,143.27272727272728,215.9134165628176,54.921003700424215
True,False,False,True,22,143.27272727272728,215.9134165628176,54.921003700424215
True,False,True,False,22,143.27272727272728,215.9134165628176,54.921003700424215
True,False,True,True,22,143.27272727272728,215.9134165628176,54.921003700424215
True,True,False,False,22,112.72727272727273,339.96284717776285,57.06272406923242
True,True,False,True,22,112.72727272727273,339.96284717776285,57.06272406923242
True,True,True,False,22,112.72727272727273,339.96284717776285,57.06272406923242
True,True,True,True,22,112.72727272727273,339.96284717776285,57.06272406923242
