video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,GRAY,1,0.8,0.36363636363636365,0.5,4,1,7,38,0.0007846751491529247
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,GRAY,3,0.5882352941176471,0.9090909090909091,0.7142857142857143,10,7,1,32,0.00013372631595476303
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,GRAY,5,0.6923076923076923,0.8181818181818182,0.75,9,4,2,35,0.00013372631595476303
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,HSV,1,0.4,0.5454545454545454,0.46153846153846156,6,9,5,30,0.0006881717307344326
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,HSV,3,0.6666666666666666,0.5454545454545454,0.6,6,3,5,36,0.00029746047397416486
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,HSV,5,1.0,0.36363636363636365,0.5333333333333333,4,0,7,39,0.00029746047397416486
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,RGB,1,0.36363636363636365,0.7272727272727273,0.48484848484848486,8,14,3,25,0.0003970216078281741
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,RGB,3,0.75,0.5454545454545454,0.631578947368421,6,2,5,37,0.0003970216078281741
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CORREL,RGB,5,0.5,0.6363636363636364,0.56,7,7,4,32,5.9781642338330165e-05
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,GRAY,1,0.47058823529411764,0.7272727272727273,0.5714285714285714,8,9,3,30,0.05467797545130447
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,GRAY,3,0.8,0.36363636363636365,0.5,4,1,7,38,0.05467797545130447
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,GRAY,5,0.4,0.5454545454545454,0.46153846153846156,6,9,5,30,0.00638818968474761
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,HSV,1,0.4666666666666667,0.6363636363636364,0.5384615384615384,7,8,4,31,0.29835966131496106
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,HSV,3,0.4444444444444444,0.7272727272727273,0.5517241379310345,8,10,3,29,0.03586207121961294
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,HSV,5,0.75,0.5454545454545454,0.631578947368421,6,2,5,37,0.03586207121961294
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,RGB,1,0.38095238095238093,0.7272727272727273,0.5,8,13,3,26,0.15195413028853147
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,RGB,3,0.5714285714285714,0.7272727272727273,0.64,8,6,3,33,0.04454741425731061
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_CHISQR,RGB,5,1.0,0.5454545454545454,0.7058823529411765,6,0,5,39,0.04454741425731061
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,GRAY,1,0.36363636363636365,0.7272727272727273,0.48484848484848486,8,14,3,25,0.04205804910700161
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,GRAY,3,0.8,0.36363636363636365,0.5,4,1,7,38,0.04205804910700161
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,GRAY,5,0.4,0.5454545454545454,0.46153846153846156,6,9,5,30,0.02352536049507903
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,HSV,1,0.3225806451612903,0.9090909090909091,0.47619047619047616,10,21,1,18,0.05976139055541418
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,HSV,3,0.5714285714285714,0.7272727272727273,0.64,8,6,3,33,0.05976139055541418
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,HSV,5,1.0,0.5454545454545454,0.7058823529411765,6,0,5,39,0.05976139055541418
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,RGB,1,0.38095238095238093,0.7272727272727273,0.5,8,13,3,26,0.05828934681287279
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,RGB,3,0.5714285714285714,0.7272727272727273,0.64,8,6,3,33,0.030869643591925868
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_BHATTACHARYYA,RGB,5,1.0,0.5454545454545454,0.7058823529411765,6,0,5,39,0.030869643591925868
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,GRAY,1,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,37,-0.6870266098121647
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,GRAY,3,0.5,0.7272727272727273,0.5925925925925926,8,8,3,31,-0.7291765744703298
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,GRAY,5,0.6,0.5454545454545454,0.5714285714285714,6,4,5,35,-0.7291765744703298
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,HSV,1,0.4166666666666667,0.45454545454545453,0.43478260869565216,5,7,6,32,-0.6127010758500546
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,HSV,3,0.75,0.2727272727272727,0.4,3,1,8,38,-0.6127010758500546
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,HSV,5,0.2391304347826087,1.0,0.38596491228070173,11,35,0,4,-0.7946005706053256
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,1,0.275,1.0,0.43137254901960786,11,29,0,10,-3.961920681373158
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,3,0.35,0.6363636363636364,0.45161290322580644,7,13,4,26,-3.9445368972592405
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,5,0.4166666666666667,0.45454545454545453,0.43478260869565216,5,7,6,32,-3.9445368972592405
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,1,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,3,0.2682926829268293,1.0,0.4230769230769231,11,30,0,9,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,5,0.3142857142857143,1.0,0.4782608695652174,11,24,0,15,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,1,0.3,0.8181818181818182,0.43902439024390244,9,21,2,18,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,3,0.4666666666666667,0.6363636363636364,0.5384615384615384,7,8,4,31,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,5,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,37,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,RGB,1,0.3181818181818182,0.6363636363636364,0.42424242424242425,7,15,4,24,0.10497997384583546
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,RGB,3,0.34615384615384615,0.8181818181818182,0.4864864864864865,9,17,2,22,0.0033993491585043722
