video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
real/Test_video.mp4,real,HISTCMP_CORREL,GRAY,1,0.19313304721030042,0.75,0.30716723549488056,45,188,15,295,0.0014572540216831742
real/Test_video.mp4,real,HISTCMP_CORREL,GRAY,3,0.22093023255813954,0.6333333333333333,0.3275862068965517,38,134,22,349,0.001236382832384253
real/Test_video.mp4,real,HISTCMP_CORREL,GRAY,5,0.20202020202020202,0.6666666666666666,0.31007751937984496,40,158,20,325,0.0008453461892156122
real/Test_video.mp4,real,HISTCMP_CORREL,HSV,1,0.12723214285714285,0.95,0.22440944881889763,57,391,3,92,0.00030003141466516947
real/Test_video.mp4,real,HISTCMP_CORREL,HSV,3,0.1510574018126888,0.8333333333333334,0.2557544757033248,50,281,10,202,0.00030003141466516947
real/Test_video.mp4,real,HISTCMP_CORREL,HSV,5,0.15789473684210525,0.75,0.2608695652173913,45,240,15,243,0.0002783316009321579
real/Test_video.mp4,real,HISTCMP_CORREL,RGB,1,0.2077922077922078,0.8,0.32989690721649484,48,183,12,300,0.0005234700410288173
real/Test_video.mp4,real,HISTCMP_CORREL,RGB,3,0.23684210526315788,0.6,0.33962264150943394,36,116,24,367,0.0004524809837349597
real/Test_video.mp4,real,HISTCMP_CORREL,RGB,5,0.1971153846153846,0.6833333333333333,0.30597014925373134,41,167,19,316,0.0002877877298935738
real/Test_video.mp4,real,HISTCMP_CHISQR,GRAY,1,0.2283464566929134,0.48333333333333334,0.31016042780748665,29,98,31,385,0.30716652466862493
real/Test_video.mp4,real,HISTCMP_CHISQR,GRAY,3,0.2248062015503876,0.48333333333333334,0.30687830687830686,29,100,31,383,0.1854752343519505
real/Test_video.mp4,real,HISTCMP_CHISQR,GRAY,5,0.23255813953488372,0.3333333333333333,0.273972602739726,20,66,40,417,0.1854752343519505
real/Test_video.mp4,real,HISTCMP_CHISQR,HSV,1,0.1320754716981132,0.8166666666666667,0.2273781902552204,49,322,11,161,0.023883000747099953
real/Test_video.mp4,real,HISTCMP_CHISQR,HSV,3,0.1419939577039275,0.7833333333333333,0.24040920716112532,47,284,13,199,0.019007344559696458
real/Test_video.mp4,real,HISTCMP_CHISQR,HSV,5,0.15760869565217392,0.48333333333333334,0.23770491803278687,29,155,31,328,0.022249582848459667
real/Test_video.mp4,real,HISTCMP_CHISQR,RGB,1,0.20809248554913296,0.6,0.3090128755364807,36,137,24,346,0.06777213547822097
real/Test_video.mp4,real,HISTCMP_CHISQR,RGB,3,0.2222222222222222,0.5,0.3076923076923077,30,105,30,378,0.04511514939915169
real/Test_video.mp4,real,HISTCMP_CHISQR,RGB,5,0.1830065359477124,0.4666666666666667,0.26291079812206575,28,125,32,358,0.03398509671259676
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,GRAY,1,0.19523809523809524,0.6833333333333333,0.3037037037037037,41,169,19,314,0.019858326441674453
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,GRAY,3,0.25287356321839083,0.36666666666666664,0.29931972789115646,22,65,38,418,0.019858326441674453
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,GRAY,5,0.15833333333333333,0.31666666666666665,0.2111111111111111,19,101,41,382,0.014530371418007603
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,HSV,1,0.14705882352941177,0.6666666666666666,0.24096385542168675,40,232,20,251,0.022982321717285422
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,HSV,3,0.15472779369627507,0.9,0.26405867970660146,54,295,6,188,0.017622369319921505
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,HSV,5,0.17843866171003717,0.8,0.2917933130699088,48,221,12,262,0.017622369319921505
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,RGB,1,0.21481481481481482,0.48333333333333334,0.29743589743589743,29,106,31,377,0.012375531319314901
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,RGB,3,0.23529411764705882,0.2,0.21621621621621623,12,39,48,444,0.010640699046522224
real/Test_video.mp4,real,HISTCMP_BHATTACHARYYA,RGB,5,0.11131725417439703,1.0,0.2003338898163606,60,479,0,4,0.0
real/Test_video.mp4,real,HISTCMP_INTERSECT,GRAY,1,0.12544802867383512,0.5833333333333334,0.20648967551622419,35,244,25,239,-40.248294593293394
real/Test_video.mp4,real,HISTCMP_INTERSECT,GRAY,3,0.15503875968992248,0.3333333333333333,0.21164021164021163,20,109,40,374,-37.50757126043936
real/Test_video.mp4,real,HISTCMP_INTERSECT,GRAY,5,0.1694915254237288,0.3333333333333333,0.2247191011235955,20,98,40,385,-37.50757126043936
real/Test_video.mp4,real,HISTCMP_INTERSECT,HSV,1,0.15789473684210525,0.95,0.27078384798099764,57,304,3,179,-5.71548572904203
real/Test_video.mp4,real,HISTCMP_INTERSECT,HSV,3,0.15942028985507245,0.9166666666666666,0.2716049382716049,55,290,5,193,-5.71548572904203
real/Test_video.mp4,real,HISTCMP_INTERSECT,HSV,5,0.1582089552238806,0.8833333333333333,0.2683544303797468,53,282,7,201,-5.71548572904203
real/Test_video.mp4,real,HISTCMP_INTERSECT,RGB,1,0.11728395061728394,0.95,0.2087912087912088,57,429,3,54,-39.40590719180727
real/Test_video.mp4,real,HISTCMP_INTERSECT,RGB,3,0.30303030303030304,0.16666666666666666,0.21505376344086022,10,23,50,460,-26.82762607384757
real/Test_video.mp4,real,HISTCMP_INTERSECT,RGB,5,0.3448275862068966,0.16666666666666666,0.2247191011235955,10,19,50,464,-26.82762607384757
